19	10	57	69
94	7	57	72
169	10	66	69
247	13	67	66
333	14	67	65

18	100	67	62
103	97	67	65
189	99	67	63
275	100	67	62
256	97	67	65
437	99	67	63
540	100	67	53
651	109	57	40
720	67	57	85

15	193	78	56
109	189	77	60
196	190	77	59

18	273	57	88
91	270	57	91
169	287	89	74
278	395	88	56
382	305	84	56
481	305	74	56

22	380	57	88
95	377	57	91
168	375	78	94
264	389	83	80
364	390	81	79
457	413	74	56

32	496	66	56
113	495	66	57
191	489	78	63
286	496	68	56

26	598	67	59
109	585	67	72
191	584	77	51
280	577	77	80
369	577	77	80

26	692	78	56
120	690	76	58
215	691	77	57

37	773	57	89
115	786	91	76
225	804	91	58
331	804	85	58
433	807	74	56

44	883	57	89
115	916	66	56
197	915	78	57
290	916	68	56

20	1009	77	66
110	1006	77	67
204	1015	77	57
295	1006	78	66
386	1011	65	77
464	1054	113	33
588	1013	67	59
688	1024	31	49
