5	9	38	65
53	9	38	65
101	10	38	64
149	11	38	63

5	84	38	59

6	154	47	59
70	154	50	59
136	154	47	59
200	154	49	59

44	254	44	60
164	247	44	55
285	247	48	53
495	246	48	53
524	246	44	55
644	247	44	55
730	226	104	90
865	249	57	71
990	261	52	59
1107	261	55	52

7	339	41	69
85	339	41	69
177	339	41	69
256	339	41	69
334	339	41	69
412	339	41	69
490	339	41	69
568	343	38	65
644	349	38	59
721	349	38	59
798	349	38	59
875	349	38	59
953	345	38	63

7	424	38	65
68	430	38	59
130	425	48	64
193	425	48	64
256	425	48	64
318	430	38	59
379	426	38	63

11	501	40	63
70	501	40	63
125	501	40	63
183	501	40	63
238	501	40	63
296	501	40	63

12	601	44	60
85	594	44	55
148	594	48	53
224	593	48	53
298	593	48	53
367	593	44	55
440	594	44	55
523	573	104	90
658	596	57	71
746	608	52	59
827	608	55	52
918	601	38	59
996	597	38	63

11	678	41	69
72	682	38	65
131	688	38	59
192	684	38	63
